165 	 44 
ID 	NL/450/88 	BE/353/89 	GU/54/89 	NL/620/89 	HK/34/90 	VI/2/90 	LY/1149/91 	BE/32A/92 	BE/32V/92 	BE/32B/92 	GD/25/93 	MA/G252/93 	OS/2352/93 	SD/9/93 	JO/33/94 	NL/18/94 	PR/413/94 	FI/338/95 	GE/A9509/95 	LY/2279/95 	NA/933/95 	NL/1/95 	NL/47/95 	NL/218/95 	WU/359B/95 	BR/8/96 	NL/172/96 	SP/1/96 	AU/10/97 	NL/286/97 	SY/5A/97 	SY/5B/97 	SY/5HAY/97 	SY/5V/97 	NL/5/98 	MW/10/99 	PM/2007/99 	NL/118/01 	NL/124/01 	NL/126/01 	FU/411/02 	NL/1/02 	NL/22/03 	NL/88/03 
VI/68/92 	640 	5120 	0 	1280 	0 	5120 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
AK/4/93 	<10 	40 	0 	80 	640 	<40 	<10 	423 	0 	0 	240 	0 	0 	847 	0 	40 	0 	960 	0 	106 	12 	0 	0 	0 	0 	0 	55 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ES/5458/93 	320 	640 	0 	2560 	0 	1280 	1280 	20 	0 	0 	0 	0 	0 	120 	120 	0 	0 	80 	0 	80 	40 	0 	0 	0 	0 	0 	60 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
GD/25/93 	0 	<10 	0 	0 	115 	0 	<40 	240 	112 	0 	1432 	320 	320 	0 	0 	168 	640 	640 	0 	277 	50 	1191 	224 	1024 	0 	0 	117 	15 	<10 	37 	0 	0 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
LY/672/93 	0 	58 	0 	0 	296 	0 	44 	298 	0 	101 	0 	80 	1280 	777 	223 	70 	392 	1600 	0 	160 	0 	932 	0 	0 	0 	0 	120 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
LY/1803/93 	0 	80 	0 	0 	640 	0 	40 	320 	0 	226 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
LY/1815/93 	0 	40 	0 	0 	320 	0 	40 	299 	0 	160 	5760 	0 	0 	1920 	2880 	320 	0 	2880 	0 	640 	0 	0 	0 	0 	0 	0 	280 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
LY/22686/93 	0 	80 	0 	0 	320 	0 	40 	179 	0 	160 	1280 	0 	0 	1600 	1600 	160 	0 	1120 	0 	240 	0 	0 	0 	0 	0 	0 	50 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
LY/23602/93 	0 	160 	0 	0 	506 	0 	160 	358 	0 	320 	1120 	0 	0 	2560 	3200 	480 	0 	3200 	0 	1280 	0 	0 	0 	0 	0 	0 	120 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MA/G101/93 	640 	1280 	0 	2560 	0 	2560 	2560 	80 	0 	0 	0 	0 	0 	20 	<5 	0 	0 	<5 	0 	<5 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
